Index,Tile Size,Loop Order,User Time (s),System Time (s),Real Time (s)
337,8,j_tk_tjki_ti,0.958127,0.133017,1.091313123703003
338,16,j_tk_tjki_ti,1.069679,0.133959,1.2038326263427734
339,32,j_tk_tjki_ti,1.020898,0.136986,1.1587188243865967
340,64,j_tk_tjki_ti,0.920906,0.140985,1.0622007846832275
341,128,j_tk_tjki_ti,1.004551,0.134073,1.1388108730316162
342,256,j_tk_tjki_ti,1.053377,0.135048,1.1887822151184082
343,8,j_tk_tki_tij,0.987543,0.141934,1.130749225616455
344,16,j_tk_tki_tij,1.044689,0.134959,1.1803362369537354
345,32,j_tk_tki_tij,1.705915,0.133993,1.8401219844818115
346,64,j_tk_tki_tij,1.748502,0.136039,1.8848388195037842
347,128,j_tk_tki_tij,2.022355,0.130022,2.1525702476501465
348,256,j_tk_tki_tij,1.797961,0.130997,1.9291470050811768
349,8,j_tk_tki_tji,0.9260839999999999,0.131011,1.0571973323822021
350,16,j_tk_tki_tji,0.977205,0.13402799999999998,1.1115386486053467
351,32,j_tk_tki_tji,1.645045,0.143003,1.7882194519042969
352,64,j_tk_tki_tji,2.567716,0.135037,2.7030067443847656
353,128,j_tk_tki_tji,2.766415,0.13602,2.9026260375976562
354,256,j_tk_tki_tji,2.965764,0.130989,3.097041606903076
355,8,j_tk_tkji_ti,1.079001,0.142,1.2213826179504395
356,16,j_tk_tkji_ti,1.5562619999999998,0.133022,1.689513921737671
357,32,j_tk_tkji_ti,2.599332,0.138017,2.737569808959961
358,64,j_tk_tkji_ti,2.986619,0.148981,3.136326551437378
359,128,j_tk_tkji_ti,2.996379,0.14397,3.1410858631134033
360,256,j_tk_tkji_ti,2.981688,0.135985,3.117861270904541
361,8,k_ti_tij_tjk,0.460626,0.134182,0.5951967239379883
362,16,k_ti_tij_tjk,0.780701,0.12695099999999998,0.9078705310821533
363,32,k_ti_tij_tjk,0.585958,0.13699,0.7232933044433594
364,64,k_ti_tij_tjk,0.48588899999999996,0.133969,0.6200418472290039
365,128,k_ti_tij_tjk,0.451893,0.118972,0.5710964202880859
366,256,k_ti_tij_tjk,0.44095799999999996,0.122988,0.5641777515411377
367,8,k_ti_tij_tkj,0.619979,0.132995,0.7532839775085449
368,16,k_ti_tij_tkj,0.44701199999999996,0.13200299999999998,0.5792739391326904
